Date,Primary Type,Description,Community Area,Domestic,Latitude,Longitude
2025-12-26 23:41:00,BATTERY,DOMESTIC BATTERY SIMPLE,15.0,True,41.940423951,-87.764950486
2025-12-26 23:38:00,NARCOTICS,POSSESS - METHAMPHETAMINE,28.0,False,41.868445426,-87.646924361
2025-12-26 23:30:00,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,44.0,True,41.73166765,-87.611977113
2025-12-26 23:30:00,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,25.0,True,41.906539063,-87.764571529
2025-12-26 23:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,26.0,False,41.884455018,-87.725774467
2025-12-26 23:30:00,CRIMINAL DAMAGE,TO PROPERTY,43.0,True,41.763150858,-87.576235076
2025-12-26 23:20:00,CRIMINAL DAMAGE,TO PROPERTY,53.0,False,41.673323372,-87.626120823
2025-12-26 23:08:00,BATTERY,DOMESTIC BATTERY SIMPLE,26.0,True,41.883324876,-87.728987402
2025-12-26 23:00:00,CRIMINAL DAMAGE,TO VEHICLE,46.0,False,41.742139003,-87.543002083
2025-12-26 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,69.0,False,41.763462539,-87.607955665
2025-12-26 22:55:00,BATTERY,DOMESTIC BATTERY SIMPLE,71.0,True,41.751522022,-87.665897874
2025-12-26 22:50:00,MOTOR VEHICLE THEFT,AUTOMOBILE,70.0,False,41.749538031,-87.715479035
2025-12-26 22:49:00,BATTERY,SIMPLE,26.0,False,41.880655171,-87.731685867
2025-12-26 22:45:00,CRIMINAL DAMAGE,TO VEHICLE,24.0,False,41.890082162,-87.648029618
2025-12-26 22:40:00,ASSAULT,SIMPLE,15.0,False,41.9477437,-87.763473894
2025-12-26 22:40:00,BATTERY,AGGRAVATED - HANDGUN,65.0,False,41.768576449,-87.732254043
2025-12-26 22:31:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,23.0,False,41.894208913,-87.718714538
2025-12-26 22:30:00,CRIMINAL DAMAGE,TO PROPERTY,72.0,True,41.699280716,-87.668185009
2025-12-26 22:30:00,HOMICIDE,FIRST DEGREE MURDER,69.0,False,41.763912764,-87.613654037
2025-12-26 22:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,23.0,False,41.894604162,-87.718729113
2025-12-26 22:25:00,THEFT,OVER $500,16.0,False,41.957472234,-87.714750349
2025-12-26 22:22:00,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,61.0,False,41.79855186,-87.670786551
2025-12-26 22:14:00,THEFT,OVER $500,38.0,True,41.805072258,-87.619480201
2025-12-26 22:10:00,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,1.0,False,42.009649067,-87.662238542
2025-12-26 22:10:00,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,25.0,False,41.881738601,-87.751281527
2025-12-26 22:00:00,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",71.0,True,41.744977571,-87.657570565
2025-12-26 22:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,7.0,False,41.929863375,-87.67204235
2025-12-26 22:00:00,THEFT,OVER $500,68.0,False,41.759235979,-87.652751544
2025-12-26 22:00:00,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,5.0,False,41.943790114,-87.679680005
2025-12-26 22:00:00,BATTERY,SIMPLE,3.0,False,41.966653193,-87.654795347
2025-12-26 22:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,72.0,False,41.718513663,-87.670682598
2025-12-26 22:00:00,BURGLARY,FORCIBLE ENTRY,21.0,False,41.932047739,-87.704268531
2025-12-26 22:00:00,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,36.0,False,41.821789385,-87.601875318
2025-12-26 22:00:00,THEFT,THEFT FROM MOTOR VEHICLE,8.0,False,41.898520881,-87.635755582
2025-12-26 22:00:00,THEFT,$500 AND UNDER,70.0,False,41.744107851,-87.715630035
2025-12-26 22:00:00,ROBBERY,ARMED - HANDGUN,49.0,False,41.728035862,-87.62237421
2025-12-26 22:00:00,CRIMINAL DAMAGE,TO PROPERTY,61.0,False,41.815098073,-87.66999976
2025-12-26 21:54:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,66.0,False,41.776432515,-87.699416094
2025-12-26 21:52:00,BATTERY,SIMPLE,68.0,False,41.779960201,-87.632099778
2025-12-26 21:47:00,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,73.0,False,41.71015841,-87.639275431
2025-12-26 21:45:00,ASSAULT,SIMPLE,32.0,False,41.885495793,-87.618644375
2025-12-26 21:39:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,10.0,False,41.994621017,-87.790237635
2025-12-26 21:37:00,NARCOTICS,POSSESS - CRACK,25.0,False,41.894886258,-87.761104826
2025-12-26 21:34:00,BATTERY,DOMESTIC BATTERY SIMPLE,35.0,True,41.841164277,-87.6171782
2025-12-26 21:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,71.0,True,41.742453079,-87.663239959
2025-12-26 21:30:00,THEFT,OVER $500,22.0,False,41.917517103,-87.694336497
2025-12-26 21:30:00,ROBBERY,ARMED - HANDGUN,25.0,False,41.873233477,-87.740949419
2025-12-26 21:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,77.0,False,41.981707483,-87.665963536
2025-12-26 21:30:00,BURGLARY,BURGLARY FROM MOTOR VEHICLE,58.0,False,41.824642421,-87.693173215
2025-12-26 21:26:00,BATTERY,DOMESTIC BATTERY SIMPLE,61.0,True,41.802257631,-87.664799461
2025-12-26 21:25:00,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,65.0,False,41.754592961,-87.741528537
2025-12-26 21:25:00,NARCOTICS,POSSESS - CRACK,53.0,False,41.67785121,-87.638667261
2025-12-26 21:24:00,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,23.0,False,41.892571747,-87.705232663
2025-12-26 21:18:00,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,44.0,False,41.736277427,-87.62510451
2025-12-26 21:14:00,CRIMINAL DAMAGE,TO PROPERTY,30.0,True,41.84992918,-87.706806157
2025-12-26 21:12:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,70.0,False,41.741826323,-87.688474502
2025-12-26 21:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,52.0,False,41.693085718,-87.524651359
2025-12-26 21:00:00,BURGLARY,BURGLARY FROM MOTOR VEHICLE,70.0,False,41.747261295,-87.703539894
2025-12-26 21:00:00,NARCOTICS,MANUFACTURE / DELIVER - CRACK,25.0,False,41.895391106,-87.750716824
2025-12-26 21:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,2.0,False,41.985250645,-87.700438415
2025-12-26 21:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,2.0,True,41.994624086,-87.698318608
2025-12-26 21:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,52.0,True,41.711975412,-87.53493331
2025-12-26 20:56:00,THEFT,RETAIL THEFT,1.0,False,41.998734156,-87.660613118
2025-12-26 20:45:00,THEFT,RETAIL THEFT,6.0,False,41.94044868,-87.651081589
2025-12-26 20:35:00,CRIMINAL DAMAGE,TO PROPERTY,16.0,False,41.941043732,-87.734632376
2025-12-26 20:35:00,THEFT,RETAIL THEFT,32.0,False,41.882470918,-87.627847625
2025-12-26 20:30:00,THEFT,THEFT FROM MOTOR VEHICLE,28.0,False,41.879056794,-87.64727716
2025-12-26 20:30:00,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,32.0,False,41.886301843,-87.626057396
2025-12-26 20:30:00,CRIMINAL DAMAGE,TO VEHICLE,67.0,False,41.776684652,-87.667814755
2025-12-26 20:30:00,ASSAULT,SIMPLE,4.0,False,41.967335221,-87.688863767
2025-12-26 20:30:00,THEFT,THEFT FROM MOTOR VEHICLE,10.0,False,41.978432432,-87.816880717
2025-12-26 20:30:00,THEFT,$500 AND UNDER,7.0,False,41.914143937,-87.635780207
2025-12-26 20:25:00,BATTERY,DOMESTIC BATTERY SIMPLE,71.0,True,41.742062159,-87.664442221
2025-12-26 20:25:00,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,15.0,False,41.939216164,-87.746877814
2025-12-26 20:19:00,THEFT,RETAIL THEFT,16.0,False,41.953924785,-87.707307
2025-12-26 20:15:00,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,22.0,False,41.925486783,-87.72680008
